,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
$\xi_{\lambda}$__0,-1.724261639932822,0.39381888898181244,0.003633739369693279,-2.5054237155179315,-0.9779524657243551,15029.34941252431,0.9999720619053745
$\xi_{\lambda}$__1,-1.6616341071738236,0.3446677968839673,0.0036356829904023794,-2.3249725516484743,-0.9821416001842362,11319.549002860604,1.0000325728726955
$\xi_{\lambda}$__2,-0.1889510286407227,0.27365781858622684,0.004238739792463963,-0.7346539149712636,0.3336231237232985,6180.270612677595,1.0008757111162898
$\xi_{\lambda}$__3,-0.03791489732539397,0.26500320101072994,0.003287900800661754,-0.5574444935782094,0.47449647220629176,7163.983697252304,0.9999500454193726
$\xi_{\lambda}$__4,-0.8884466401921023,0.3235715018854748,0.0034708590564474957,-1.5248838938114528,-0.25021530976917256,10085.153108100483,1.000005804568202
$\xi_{\lambda}$__5,-0.1066828188496509,0.2878892346234218,0.003887043955348872,-0.6891603933296822,0.42969650594767334,7943.710666385219,1.0000165053291281
$\xi_{\lambda}$__6,-1.0097480095709104,0.4692068684970024,0.005538902917832411,-1.9407231016353728,-0.10759993483972805,10896.81887687313,0.9999511998028886
$\xi_{\lambda}$__7,0.6957291630121831,0.27332085214078183,0.0031212366552776627,0.1436371714755428,1.2158156243568747,7593.05293623423,0.9999674588356987
$\xi_{\lambda}$__8,-1.6527579759705266,0.3691153485458941,0.004377260907980648,-2.3735653901460774,-0.9286285097872319,10406.464863234514,1.0000859153817925
$\xi_{\lambda}$__9,1.4528538760501977,0.2452250743060362,0.004069529105622019,0.9780098269910806,1.9308874649509171,5423.351435536728,0.999995332858781
$\zeta_{\varsigma}$__0,-1.8436044047563875,0.21195620733637566,0.0037118809180208467,-2.257476491738844,-1.4236150746931588,4169.490216328351,1.000019889906025
$\zeta_{\varsigma}$__1,-2.529421568248428,0.3065110326978289,0.004498897802553594,-3.142322940639417,-1.9508091334156308,5852.962306230635,1.000251528554464
$\xi_{\varsigma}$__0,-0.24541957038626638,0.23198099689113771,0.005083932969665447,-0.6995912009235604,0.2117570481409988,2096.3209406358033,1.0008170475385618
$\xi_{\varsigma}$__1,-0.6254740326877416,0.23962674729761846,0.006066938847336425,-1.0956673070767724,-0.15752180722829184,985.1416722894148,1.0017947352176069
$\xi_{\varsigma}$__2,-0.3477226473181821,0.23676672833895931,0.00555068383050153,-0.8146760350311352,0.1172723533941931,1435.0408984250262,1.0002150777100025
$\xi_{\varsigma}$__3,-0.17597372726568405,0.2280444121934202,0.003973928171962384,-0.6135811458086916,0.2789562529647972,3719.3338934472404,0.9999639572249402
